Source,Target,Weight
NCBITaxon:469592,MONDO:0011382,1
NCBITaxon:817,MONDO:0015183,1
NCBITaxon:469592,MONDO:0005148,1
NCBITaxon:659,MONDO:0009061,1
NCBITaxon:97478,MONDO:0015183,1
NCBITaxon:821,MONDO:0010726,1
NCBITaxon:457387,MONDO:0011382,1
NCBITaxon:2317,MONDO:0009061,1
NCBITaxon:457391,MONDO:0011382,1
NCBITaxon:457387,MONDO:0005148,1
NCBITaxon:83565,MONDO:0011382,1
NCBITaxon:405212,MONDO:0015183,1
NCBITaxon:35841,MONDO:0005027,1
NCBITaxon:457391,MONDO:0005148,1
NCBITaxon:83565,MONDO:0005148,1
NCBITaxon:457412,MONDO:0008383,1
NCBITaxon:817,MONDO:0005147,1
NCBITaxon:306,MONDO:0009061,1
NCBITaxon:1588,MONDO:0005052,1
NCBITaxon:36832,MONDO:0018076,1
NCBITaxon:36745,MONDO:0018076,1
NCBITaxon:1254,MONDO:0005154,1
NCBITaxon:1296,MONDO:0005154,1
NCBITaxon:97478,MONDO:0005147,1
NCBITaxon:217159,MONDO:0009061,1
NCBITaxon:83771,MONDO:0009061,1
NCBITaxon:28141,MONDO:0005052,1
NCBITaxon:1583,MONDO:0005052,1
NCBITaxon:239935,MONDO:0010726,1
NCBITaxon:542,MONDO:0015183,1
NCBITaxon:405212,MONDO:0005147,1
NCBITaxon:33996,MONDO:0011382,1
NCBITaxon:665951,MONDO:0024388,1
NCBITaxon:1491,MONDO:0005052,1
NCBITaxon:33996,MONDO:0005148,1
NCBITaxon:920,MONDO:0005101,1
NCBITaxon:13335,MONDO:0009861,1
NCBITaxon:446660,MONDO:0018076,1
NCBITaxon:28116,MONDO:0009861,1
NCBITaxon:358,MONDO:0005101,1
NCBITaxon:2223,MONDO:0005027,1
NCBITaxon:1736,MONDO:0005154,1
NCBITaxon:831,MONDO:0009861,1
NCBITaxon:204038,MONDO:0005101,1
NCBITaxon:658659,MONDO:0009061,1
NCBITaxon:1548,MONDO:0005260,1
NCBITaxon:1537,MONDO:0005027,1
NCBITaxon:901,MONDO:0010726,1
NCBITaxon:106590,MONDO:0015183,1
NCBITaxon:28141,MONDO:0024388,1
NCBITaxon:1829,MONDO:0008383,1
NCBITaxon:1583,MONDO:0024388,1
NCBITaxon:296,MONDO:0024388,1
NCBITaxon:36847,MONDO:0010726,1
NCBITaxon:665943,MONDO:0005260,1
NCBITaxon:1358,MONDO:0005260,1
NCBITaxon:1491,MONDO:0024388,1
NCBITaxon:1355477,MONDO:0005101,1
NCBITaxon:1547,MONDO:0005101,2
NCBITaxon:615,MONDO:0005101,1
NCBITaxon:457421,MONDO:0005052,1
NCBITaxon:72000,MONDO:0024388,1
NCBITaxon:106590,MONDO:0005147,1
NCBITaxon:1203555,MONDO:0018076,1
NCBITaxon:1493,MONDO:0005027,1
NCBITaxon:178606,MONDO:0005101,1
NCBITaxon:626937,MONDO:0005148,1
NCBITaxon:92945,MONDO:0005101,1
NCBITaxon:364410,MONDO:0011382,1
NCBITaxon:658082,MONDO:0011565,1
NCBITaxon:2317,MONDO:0015183,1
NCBITaxon:116085,MONDO:0005154,1
NCBITaxon:187400,MONDO:0018076,1
NCBITaxon:34015,MONDO:0024388,1
NCBITaxon:360807,MONDO:0005052,1
NCBITaxon:384,MONDO:0005101,1
NCBITaxon:1681,MONDO:0005027,1
NCBITaxon:306,MONDO:0015183,1
NCBITaxon:1426,MONDO:0005027,1
NCBITaxon:469593,MONDO:0008383,1
NCBITaxon:853,MONDO:0011382,1
NCBITaxon:57037,MONDO:0005154,1
NCBITaxon:217159,MONDO:0015183,1
