id,type,node_color
PUBCHEM.COMPOUND:5484352,metabolite,green
PUBCHEM.COMPOUND:5570,metabolite,green
PUBCHEM.COMPOUND:5610,metabolite,green
PUBCHEM.COMPOUND:5699,metabolite,green
PUBCHEM.COMPOUND:5780,metabolite,green
PUBCHEM.COMPOUND:5789,metabolite,green
PUBCHEM.COMPOUND:58,metabolite,green
PUBCHEM.COMPOUND:5810,metabolite,green
PUBCHEM.COMPOUND:5816,metabolite,green
PUBCHEM.COMPOUND:586,metabolite,green
PUBCHEM.COMPOUND:5862,metabolite,green
PUBCHEM.COMPOUND:588,metabolite,green
PUBCHEM.COMPOUND:5881,metabolite,green
PUBCHEM.COMPOUND:5885,metabolite,green
PUBCHEM.COMPOUND:5892,metabolite,green
PUBCHEM.COMPOUND:5950,metabolite,green
PUBCHEM.COMPOUND:5951,metabolite,green
PUBCHEM.COMPOUND:5957,metabolite,green
PUBCHEM.COMPOUND:5958,metabolite,green
PUBCHEM.COMPOUND:5960,metabolite,green
PUBCHEM.COMPOUND:5961,metabolite,green
PUBCHEM.COMPOUND:5962,metabolite,green
PUBCHEM.COMPOUND:597,metabolite,green
PUBCHEM.COMPOUND:5988,metabolite,green
PUBCHEM.COMPOUND:5994,metabolite,green
PUBCHEM.COMPOUND:5997,metabolite,green
PUBCHEM.COMPOUND:6022,metabolite,green
PUBCHEM.COMPOUND:6029,metabolite,green
PUBCHEM.COMPOUND:6030,metabolite,green
PUBCHEM.COMPOUND:6037,metabolite,green
PUBCHEM.COMPOUND:6047,metabolite,green
PUBCHEM.COMPOUND:6057,metabolite,green
PUBCHEM.COMPOUND:6076,metabolite,green
PUBCHEM.COMPOUND:6083,metabolite,green
PUBCHEM.COMPOUND:60961,metabolite,green
PUBCHEM.COMPOUND:6106,metabolite,green
PUBCHEM.COMPOUND:6119,metabolite,green
PUBCHEM.COMPOUND:6131,metabolite,green
PUBCHEM.COMPOUND:6137,metabolite,green
PUBCHEM.COMPOUND:6140,metabolite,green
PUBCHEM.COMPOUND:61503,metabolite,green
PUBCHEM.COMPOUND:6175,metabolite,green
PUBCHEM.COMPOUND:6184,metabolite,green
PUBCHEM.COMPOUND:6238,metabolite,green
PUBCHEM.COMPOUND:6251,metabolite,green
PUBCHEM.COMPOUND:6262,metabolite,green
PUBCHEM.COMPOUND:6267,metabolite,green
PUBCHEM.COMPOUND:6274,metabolite,green
PUBCHEM.COMPOUND:6287,metabolite,green
PUBCHEM.COMPOUND:6288,metabolite,green
PUBCHEM.COMPOUND:6305,metabolite,green
PUBCHEM.COMPOUND:6306,metabolite,green
PUBCHEM.COMPOUND:6322,metabolite,green
PUBCHEM.COMPOUND:6329,metabolite,green
PUBCHEM.COMPOUND:637517,metabolite,green
PUBCHEM.COMPOUND:638072,metabolite,green
PUBCHEM.COMPOUND:6427004,metabolite,green
PUBCHEM.COMPOUND:643757,metabolite,green
PUBCHEM.COMPOUND:643798,metabolite,green
PUBCHEM.COMPOUND:643975,metabolite,green
PUBCHEM.COMPOUND:643976,metabolite,green
PUBCHEM.COMPOUND:6453952,metabolite,green
PUBCHEM.COMPOUND:64689,metabolite,green
PUBCHEM.COMPOUND:649,metabolite,green
PUBCHEM.COMPOUND:64950,metabolite,green
PUBCHEM.COMPOUND:64956,metabolite,green
PUBCHEM.COMPOUND:64959,metabolite,green
PUBCHEM.COMPOUND:650,metabolite,green
PUBCHEM.COMPOUND:65037,metabolite,green
PUBCHEM.COMPOUND:65065,metabolite,green
PUBCHEM.COMPOUND:65070,metabolite,green
PUBCHEM.COMPOUND:65072,metabolite,green
PUBCHEM.COMPOUND:6508,metabolite,green
PUBCHEM.COMPOUND:65359,metabolite,green
PUBCHEM.COMPOUND:6560,metabolite,green
PUBCHEM.COMPOUND:657272,metabolite,green
PUBCHEM.COMPOUND:6590,metabolite,green
PUBCHEM.COMPOUND:6613,metabolite,green
