PUBCHEM.COMPOUND:445639	NCBIGene:121260
PUBCHEM.COMPOUND:1032	NCBIGene:6870
PUBCHEM.COMPOUND:177	NCBIGene:7125
PUBCHEM.COMPOUND:3032849	NCBIGene:1282
PUBCHEM.COMPOUND:527	NCBIGene:217
PUBCHEM.COMPOUND:10133	NCBIGene:3444
PUBCHEM.COMPOUND:753	NCBIGene:54148
PUBCHEM.COMPOUND:71080	NCBIGene:10677
PUBCHEM.COMPOUND:8955	NCBIGene:3283
PUBCHEM.COMPOUND:6083	NCBIGene:6222
PUBCHEM.COMPOUND:681	NCBIGene:2936
PUBCHEM.COMPOUND:5957	NCBIGene:112858
PUBCHEM.COMPOUND:8955	NCBIGene:2908
PUBCHEM.COMPOUND:637511	NCBIGene:3576
PUBCHEM.COMPOUND:23327	NCBIGene:50853
PUBCHEM.COMPOUND:713	NCBIGene:213
PUBCHEM.COMPOUND:602	NCBIGene:10454
PUBCHEM.COMPOUND:174	NCBIGene:4843
PUBCHEM.COMPOUND:637511	NCBIGene:5743
PUBCHEM.COMPOUND:774	NCBIGene:6845
PUBCHEM.COMPOUND:6083	NCBIGene:6478
PUBCHEM.COMPOUND:13804	NCBIGene:55367
PUBCHEM.COMPOUND:175	NCBIGene:283871
PUBCHEM.COMPOUND:903	NCBIGene:29785
PUBCHEM.COMPOUND:5957	NCBIGene:130340
PUBCHEM.COMPOUND:3893	NCBIGene:1579
PUBCHEM.COMPOUND:5283546	NCBIGene:3418
PUBCHEM.COMPOUND:296	NCBIGene:4329
PUBCHEM.COMPOUND:768	NCBIGene:1579
PUBCHEM.COMPOUND:175	NCBIGene:134829
PUBCHEM.COMPOUND:6083	NCBIGene:23327
PUBCHEM.COMPOUND:525	NCBIGene:5036
PUBCHEM.COMPOUND:439750	NCBIGene:2339
PUBCHEM.COMPOUND:264	NCBIGene:56923
PUBCHEM.COMPOUND:5892	NCBIGene:142
PUBCHEM.COMPOUND:6262	NCBIGene:6846
PUBCHEM.COMPOUND:753	NCBIGene:9531
PUBCHEM.COMPOUND:51	NCBIGene:6387
PUBCHEM.COMPOUND:187	NCBIGene:4295
PUBCHEM.COMPOUND:280	NCBIGene:25874
PUBCHEM.COMPOUND:222528	NCBIGene:60678
PUBCHEM.COMPOUND:1117	NCBIGene:10861
PUBCHEM.COMPOUND:679	NCBIGene:92935
PUBCHEM.COMPOUND:6076	NCBIGene:10018
PUBCHEM.COMPOUND:165436	NCBIGene:122970
PUBCHEM.COMPOUND:175	NCBIGene:2326
PUBCHEM.COMPOUND:440936	NCBIGene:6363
PUBCHEM.COMPOUND:5957	NCBIGene:79003
